Type,Size,Algorithm,Random,Sorted,Reverse,Half,Nearly
int,20,bubble,0.0166098,0.0189513,0.0228078,0.0240898,0.0206537
int,20,insertion,0.0215267,0.0259948,0.0318211,0.0261209,0.02291
int,20,selection,0.0228381,0.0223268,0.0209975,0.0210028,0.0208482
int,20,quick,0.0217222,0.0188528,0.0271427,0.0194378,0.020184
int,20,merge,0.0235995,0.0189172,0.0167664,0.0222822,0.0168429
int,20,heap,0.0206689,0.0210092,0.0231183,0.0229651,0.0208748
int,50,bubble,0.0161097,0.015986,0.0226811,0.0189542,0.0162606
int,50,insertion,0.017623,0.021649,0.014684,0.018091,0.022196
int,50,selection,0.0199517,0.0161138,0.0313883,0.0256148,0.0200854
int,50,quick,0.01633,0.0199928,0.0181833,0.0200183,0.0212094
int,50,merge,0.0205757,0.0150002,0.0186076,0.0163339,0.0200737
int,50,heap,0.0227152,0.0167072,0.0137957,0.018621,0.0180771
int,100,bubble,0.0215527,0.0272243,0.0242874,0.0233299,0.0181103
int,100,insertion,0.0178404,0.0176855,0.0190164,0.0235618,0.0233285
int,100,selection,0.02288,0.0250944,0.0264268,0.0219979,0.0166538
int,100,quick,0.0194734,0.0197553,0.0186223,0.0391017,0.0199933
int,100,merge,0.0204819,0.0296963,0.119431,0.0498703,0.0276733
int,100,heap,0.0303691,0.0256851,0.0273881,0.0292943,0.0304147
int,1000,bubble,0.0267881,0.0293009,0.0318489,0.0308563,0.0346595
int,1000,insertion,0.0246259,0.0249854,0.0240221,0.0251277,0.0309852
int,1000,selection,0.0285709,0.0303321,0.0371602,0.0281984,0.0302238
int,1000,quick,0.0201371,0.0416732,0.0264877,0.0270225,0.0250457
int,1000,merge,0.024096,0.0243066,0.026384,0.0219134,0.0218515
int,1000,heap,0.0184848,0.0158098,0.0359749,0.0231099,0.0198141
int,10000,bubble,0.763046,0.0136288,0.685089,0.405235,0.333316
int,10000,insertion,0.14122,0.0243459,0.277077,0.058973,0.046209
int,10000,selection,0.223778,0.216192,0.23215,0.221778,0.212997
int,10000,quick,0.0209507,0.652955,0.413155,0.0210528,0.0260597
int,10000,merge,0.0238768,0.0246095,0.0234923,0.0216219,0.023747
int,10000,heap,0.018897,0.0208861,0.0183416,0.0236308,0.0222019
int,100000,bubble,TIMEOUT,0.01557,TIMEOUT,57.031,15.277
int,100000,insertion,16.9494,0.0184027,25.4232,11.758,0.800702
int,100000,selection,21.04,20.5536,21.9728,21.1561,20.1391
int,100000,quick,0.0493444,40.7025,26.8434,0.0526633,39.8834
int,100000,merge,0.0886281,0.0718012,0.0656571,0.0698646,0.0627432
int,100000,heap,0.076657,0.056674,0.0548366,0.0642626,0.0599453
int,1000000,bubble,TIMEOUT,0.0260047,TIMEOUT,TIMEOUT,TIMEOUT
int,1000000,insertion,TIMEOUT,0.034175,TIMEOUT,TIMEOUT,2.38331
int,1000000,selection,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
int,1000000,quick,0.560805,TIMEOUT,TIMEOUT,4.38863,TIMEOUT
int,1000000,merge,0.702087,0.493255,0.48364,0.550389,0.483067
int,1000000,heap,0.854332,0.492926,0.490563,0.612084,0.513938
float,20,bubble,0.0151854,0.0184081,0.0184283,0.0158584,0.0182278
float,20,insertion,0.0174124,0.0180918,0.0152818,0.0169657,0.022003
float,20,selection,0.017171,0.0174339,0.0174392,0.0176434,0.0154979
float,20,quick,0.0155358,0.0173926,0.0151204,0.0170786,0.0190219
float,20,merge,0.0176373,0.0152662,0.0147283,0.0160388,0.0146729
float,20,heap,0.0168831,0.0177441,0.0166669,0.0144666,0.0170777
float,50,bubble,0.0156007,0.0162016,0.0154475,0.0158213,0.0144089
float,50,insertion,0.015751,0.0162012,0.0144687,0.0160403,0.0163142
float,50,selection,0.0157438,0.017954,0.0188993,0.0151918,0.016812
float,50,quick,0.0162844,0.0159281,0.0145482,0.015905,0.0173286
float,50,merge,0.0159028,0.0169024,0.015296,0.0170866,0.0162459
float,50,heap,0.0165149,0.0147417,0.0156354,0.0157495,0.0150043
float,100,bubble,0.014715,0.0142712,0.0162274,0.0145744,0.0160302
float,100,insertion,0.0164686,0.0155919,0.0174655,0.0152979,0.0146548
float,100,selection,0.0138739,0.0181433,0.023659,0.0214121,0.0211934
float,100,quick,0.0196302,0.0155102,0.0180153,0.0154457,0.020005
float,100,merge,0.0178373,0.0171221,0.0159091,0.0153973,0.0173985
float,100,heap,0.0177314,0.0158324,0.0177893,0.0173304,0.0173708
float,1000,bubble,0.0984072,0.038208,0.022758,0.0193446,0.0207539
float,1000,insertion,0.0177432,0.0162226,0.0191645,0.0185694,0.0272126
float,1000,selection,0.0361446,0.0181464,0.0170566,0.0181136,0.0176559
float,1000,quick,0.0165558,0.0230029,0.0193009,0.0138449,0.0158832
float,1000,merge,0.0167745,0.0172345,0.0165523,0.0167498,0.0157108
float,1000,heap,0.0163297,0.0175669,0.0160703,0.0168707,0.017457
float,10000,bubble,0.726255,0.0164146,0.665883,0.410989,0.366637
float,10000,insertion,0.142236,0.0131212,0.271132,0.0566031,0.0461904
float,10000,selection,0.217419,0.215193,0.22575,0.220646,0.217375
float,10000,quick,0.0182025,0.590241,0.44661,0.0177818,0.0207267
float,10000,merge,0.0191528,0.022299,0.021734,0.021142,0.0194791
float,10000,heap,0.0208441,0.0199327,0.0278026,0.018312,0.0223957
float,100000,bubble,TIMEOUT,0.0169157,TIMEOUT,TIMEOUT,16.4475
float,100000,insertion,12.5608,0.0154923,26.3519,12.1653,0.744783
float,100000,selection,19.9748,22.0158,22.1811,19.9986,20.1121
float,100000,quick,0.0496843,40.9745,27.0157,0.0526797,40.6159
float,100000,merge,0.116205,0.0637204,0.0581388,0.0719267,0.0590501
float,100000,heap,0.0684342,0.0525479,0.05582,0.0631596,0.0613069
float,1000000,bubble,TIMEOUT,0.0250015,TIMEOUT,TIMEOUT,TIMEOUT
float,1000000,insertion,TIMEOUT,0.0331487,TIMEOUT,TIMEOUT,2.40904
float,1000000,selection,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
float,1000000,quick,0.579206,TIMEOUT,TIMEOUT,17.6552,TIMEOUT
float,1000000,merge,0.716572,0.47703,0.469099,0.592597,0.487527
float,1000000,heap,0.76532,0.539396,0.496081,0.64907,0.504176
char,20,bubble,0.0128388,0.0144914,0.0134348,0.0135337,0.0137593
char,20,insertion,0.013874,0.0130843,0.0122812,0.0153925,0.0154366
char,20,selection,0.0137374,0.0129404,0.0149371,0.015599,0.0134166
char,20,quick,0.0150413,0.014458,0.0124198,0.0140423,0.0140379
char,20,merge,0.0130606,0.0130093,0.0134779,0.0788994,0.0203112
char,20,heap,0.0144818,0.0126641,0.0139976,0.0135777,0.0133811
char,50,bubble,0.0143584,0.0135056,0.0116161,0.0144414,0.0143233
char,50,insertion,0.0137559,0.0125708,0.0130459,0.0140922,0.0129147
char,50,selection,0.0137403,0.0136688,0.0139025,0.0127558,0.0131836
char,50,quick,0.0131821,0.0136169,0.0134409,0.0133762,0.013656
char,50,merge,0.0141118,0.0138728,0.0124697,0.0135166,0.0139228
char,50,heap,0.0136821,0.0130509,0.0144557,0.0142033,0.0137439
char,100,bubble,0.0128306,0.0151693,0.0142068,0.0137071,0.0139014
char,100,insertion,0.0129232,0.0122327,0.0134852,0.0147748,0.01488
char,100,selection,0.014158,0.0138885,0.0136873,0.0129779,0.0126105
char,100,quick,0.0143232,0.0138468,0.0126838,0.0137726,0.0140163
char,100,merge,0.0154863,0.012658,0.0144701,0.0140572,0.0142737
char,100,heap,0.0128849,0.0138915,0.0159995,0.0138101,0.0142929
char,1000,bubble,0.0192291,0.0181041,0.0189974,0.0175004,0.0199077
char,1000,insertion,0.0158211,0.0151619,0.0146965,0.0150784,0.0143179
char,1000,selection,0.0153331,0.0158421,0.0157494,0.0170251,0.0159796
char,1000,quick,0.0134945,0.0144264,0.0142636,0.0134921,0.0147486
char,1000,merge,0.0140007,0.0130795,0.0161131,0.0153759,0.0143455
char,1000,heap,0.0131709,0.0135437,0.0135289,0.013505,0.0138724
char,10000,bubble,0.583022,0.448239,0.464755,0.548468,0.528765
char,10000,insertion,0.136252,0.134796,0.136459,0.134769,0.131168
char,10000,selection,0.211519,0.20965,0.209086,0.209257,0.211014
char,10000,quick,0.0345737,0.0342668,0.0343404,0.0205638,0.0832439
char,10000,merge,0.0170715,0.018212,0.0190797,0.0178357,0.0183025
